free_months,accept_rate,top_frac,k,TP,FP,precision_at_k,base_churn_rate_test,lift,ARPU_NTD,expected_gain_NTD,expected_cost_NTD,expected_net_NTD
3,0.5,0.01,89633,1229,88404,0.013711467874555131,0.04739347913762491,0.28931127496967873,144.2380587122267,797708.5837079698,38253664.027187064,-37455955.44347909
3,0.5,0.03,268901,4491,264410,0.016701313866441553,0.04739347913762491,0.35239687337456205,144.2380587122267,2914979.0475447453,114413955.31229958,-111498976.26475483
3,0.5,0.05,448169,31015,417154,0.06920380481470159,0.04739347913762491,1.4601967628023709,144.2380587122267,20130945.2593187,180508449.43212065,-160377504.17280194
3,0.5,0.1,896338,81990,814348,0.09147219017825865,0.04739347913762491,1.9300585616986363,144.2380587122267,53217352.9521696,352379923.9085531,-299162570.9563835
3,0.5,0.2,1792677,273501,1519176,0.15256568807431567,0.04739347913762491,3.2191282609002694,144.2380587122267,177521639.8313372,657368991.2466171,-479847351.41527987
3,0.7,0.01,89633,1229,88404,0.013711467874555131,0.04739347913762491,0.28931127496967873,144.2380587122267,1116792.0171911574,38253664.027187064,-37136872.00999591
3,0.7,0.03,268901,4491,264410,0.016701313866441553,0.04739347913762491,0.35239687337456205,144.2380587122267,4080970.6665626434,114413955.31229958,-110332984.64573693
3,0.7,0.05,448169,31015,417154,0.06920380481470159,0.04739347913762491,1.4601967628023709,144.2380587122267,28183323.363046177,180508449.43212065,-152325126.06907448
3,0.7,0.1,896338,81990,814348,0.09147219017825865,0.04739347913762491,1.9300585616986363,144.2380587122267,74504294.13303743,352379923.9085531,-277875629.7755157
3,0.7,0.2,1792677,273501,1519176,0.15256568807431567,0.04739347913762491,3.2191282609002694,144.2380587122267,248530295.76387206,657368991.2466171,-408838695.48274505
